k,ms,N
1,14626,351039
2,7201,351039
3,6679,351039
4,5239,351039
5,4087,351039
6,3730,351039
7,3501,351039
8,3164,351039
9,3016,351039
10,2860,351039
11,2323,351039
12,2497,351039
13,2136,351039
14,2351,351039
15,2058,351039
16,1899,351039
17,2021,351039
18,2030,351039
19,1527,351039
20,1805,351039
21,1456,351039
22,1545,351039
23,1422,351039
24,1505,351039
25,1483,351039
26,1443,351039
27,1288,351039
28,1223,351039
29,1202,351039
30,1265,351039
31,1374,351039
32,1090,351039
33,1105,351039
34,1065,351039
35,990,351039
36,1156,351039
37,1224,351039
38,1053,351039
39,1135,351039
40,1193,351039
41,1159,351039
42,1133,351039
43,1010,351039
44,900,351039
45,1017,351039
46,1092,351039
47,906,351039
48,793,351039
49,726,351039
50,988,351039
51,884,351039
52,795,351039
53,816,351039
54,1025,351039
55,875,351039
56,852,351039
57,925,351039
58,830,351039
59,895,351039
60,914,351039
61,878,351039
62,981,351039
63,744,351039
64,740,351039
65,776,351039
66,830,351039
67,904,351039
68,687,351039
69,833,351039
70,811,351039
71,714,351039
72,925,351039
73,876,351039
74,851,351039
75,687,351039
76,889,351039
77,856,351039
78,833,351039
79,779,351039
80,648,351039
81,732,351039
82,800,351039
83,878,351039
84,900,351039
85,729,351039
86,873,351039
87,764,351039
88,837,351039
89,781,351039
90,699,351039
91,722,351039
92,716,351039
93,662,351039
94,709,351039
95,604,351039
96,757,351039
97,755,351039
98,686,351039
99,704,351039
100,791,351039
101,782,351039
102,806,351039
103,686,351039
104,732,351039
105,747,351039
106,759,351039
107,649,351039
108,683,351039
109,797,351039
110,702,351039
111,769,351039
112,653,351039
113,727,351039
114,760,351039
115,638,351039
116,613,351039
117,676,351039
118,645,351039
119,697,351039
120,762,351039
121,608,351039
122,653,351039
123,762,351039
124,720,351039
125,730,351039
126,647,351039
127,605,351039
