k,ms,N
1,8628,351038
2,2906,175519
3,4233,117012
4,2618,87759
5,2578,70207
6,1275,58506
7,2592,50148
8,2537,43879
9,1413,39004
10,2127,35103
11,1202,31912
12,1896,29253
13,1181,27002
14,984,25074
15,1476,23402
16,1229,21939
17,1028,20649
18,1372,19502
19,789,18475
20,1262,17551
21,879,16716
22,1121,15956
23,772,15262
24,1203,14626
25,1157,14041
26,1191,13501
27,1030,13001
28,860,12537
29,849,12104
30,821,11701
31,981,11323
32,1061,10969
33,818,10637
34,721,10324
35,910,10029
36,940,9751
37,862,9487
38,858,9237
39,817,9000
40,677,8775
41,701,8561
42,801,8358
43,824,8163
44,773,7978
45,731,7800
46,745,7631
47,790,7468
48,637,7313
49,786,7164
50,655,7020
51,726,6883
52,830,6750
53,622,6623
54,700,6500
55,712,6382
56,648,6268
57,755,6158
58,690,6052
59,664,5949
60,682,5850
61,648,5754
62,528,5661
63,674,5572
64,564,5484
65,603,5400
66,665,5318
67,643,5239
68,625,5162
69,639,5087
70,650,5014
71,552,4944
72,577,4875
73,652,4808
74,652,4743
75,579,4680
76,649,4618
77,646,4558
78,710,4500
79,617,4443
80,598,4387
81,520,4333
82,560,4280
83,603,4229
84,628,4179
85,536,4129
86,578,4081
87,542,4034
88,574,3989
89,536,3944
90,585,3900
91,511,3857
92,523,3815
93,546,3774
94,564,3734
95,582,3695
96,576,3656
97,545,3618
98,534,3582
99,533,3545
100,530,3510
101,482,3475
102,490,3441
103,477,3408
104,489,3375
105,480,3343
106,521,3311
107,504,3280
108,475,3250
109,508,3220
110,522,3191
111,514,3162
112,508,3134
113,498,3106
114,507,3079
115,497,3052
116,509,3026
117,480,3000
118,501,2974
119,470,2949
120,438,2925
121,486,2901
122,467,2877
123,448,2853
124,484,2830
125,477,2808
126,451,2786
127,516,2764
