k,ms,N
1,23089,458803
2,14968,458803
3,12239,458803
4,10869,458803
5,9838,458803
6,9136,458803
7,8698,458803
8,8355,458803
9,7943,458803
10,7863,458803
11,7546,458803
12,7269,458803
13,7186,458803
14,7180,458803
15,7072,458803
16,6858,458803
17,7026,458803
18,6882,458803
19,6710,458803
20,6851,458803
21,6605,458803
22,6573,458803
23,6525,458803
24,6521,458803
25,6486,458803
26,6623,458803
27,6393,458803
28,6424,458803
29,6379,458803
30,6292,458803
31,6550,458803
32,6310,458803
33,6233,458803
34,6290,458803
35,6260,458803
36,6288,458803
37,6234,458803
38,6238,458803
39,6195,458803
40,6112,458803
41,6161,458803
42,6100,458803
43,6134,458803
44,6072,458803
45,6092,458803
46,6259,458803
47,6168,458803
48,6071,458803
49,6217,458803
50,6081,458803
51,6116,458803
52,6122,458803
53,6050,458803
54,6038,458803
55,6105,458803
56,5906,458803
57,6014,458803
58,6041,458803
59,5971,458803
60,5959,458803
61,5964,458803
62,5924,458803
63,5972,458803
64,6050,458803
65,6030,458803
66,6026,458803
67,6027,458803
68,6014,458803
69,6046,458803
70,5897,458803
71,5918,458803
72,5900,458803
73,5886,458803
74,6016,458803
75,6040,458803
76,6049,458803
77,5930,458803
78,5910,458803
79,5882,458803
80,5849,458803
81,5908,458803
82,5930,458803
83,5879,458803
84,5837,458803
85,5862,458803
86,5900,458803
87,6032,458803
88,6079,458803
89,6072,458803
90,5911,458803
91,5904,458803
92,5777,458803
93,6048,458803
94,6027,458803
95,5958,458803
96,5817,458803
97,6056,458803
98,5860,458803
99,5960,458803
100,6040,458803
101,5890,458803
102,6105,458803
103,5894,458803
104,6080,458803
105,6008,458803
106,5847,458803
107,6037,458803
108,6290,458803
109,6004,458803
110,6054,458803
111,6198,458803
112,5914,458803
113,6014,458803
114,5810,458803
115,5880,458803
116,5877,458803
117,5861,458803
118,5859,458803
119,5814,458803
120,6170,458803
121,5802,458803
122,6050,458803
123,5975,458803
124,5966,458803
125,6123,458803
126,6246,458803
127,6031,458803
