k,ms,N
1,20390,458803
2,11816,458803
3,7851,458803
4,6775,458803
5,5815,458803
6,4961,458803
7,4310,458803
8,4019,458803
9,3752,458803
10,3635,458803
11,3444,458803
12,3280,458803
13,3142,458803
14,3102,458803
15,2984,458803
16,2887,458803
17,2865,458803
18,2862,458803
19,2804,458803
20,2682,458803
21,2644,458803
22,2610,458803
23,2620,458803
24,2597,458803
25,2454,458803
26,2443,458803
27,2557,458803
28,2472,458803
29,2409,458803
30,2411,458803
31,2429,458803
32,2390,458803
33,2509,458803
34,2357,458803
35,2344,458803
36,2322,458803
37,2299,458803
38,2264,458803
39,2340,458803
40,2232,458803
41,2282,458803
42,2257,458803
43,2249,458803
44,2191,458803
45,2232,458803
46,2211,458803
47,2174,458803
48,2206,458803
49,2165,458803
50,2160,458803
51,2185,458803
52,2153,458803
53,2165,458803
54,2132,458803
55,2111,458803
56,2158,458803
57,2151,458803
58,2139,458803
59,2233,458803
60,2082,458803
61,2079,458803
62,2083,458803
63,2107,458803
64,2140,458803
65,2220,458803
66,2120,458803
67,2100,458803
68,2146,458803
69,2119,458803
70,2122,458803
71,2137,458803
72,1998,458803
73,2025,458803
74,2128,458803
75,2065,458803
76,2116,458803
77,2087,458803
78,2047,458803
79,2054,458803
80,2171,458803
81,2067,458803
82,2035,458803
83,2045,458803
84,2147,458803
85,2107,458803
86,2063,458803
87,2017,458803
88,2043,458803
89,2117,458803
90,2110,458803
91,1990,458803
92,2049,458803
93,2067,458803
94,2030,458803
95,2019,458803
96,2050,458803
97,2032,458803
98,2062,458803
99,2025,458803
100,2023,458803
101,2047,458803
102,2045,458803
103,2104,458803
104,1988,458803
105,2016,458803
106,1947,458803
107,2029,458803
108,2082,458803
109,2014,458803
110,2015,458803
111,1994,458803
112,2017,458803
113,1995,458803
114,2009,458803
115,2052,458803
116,2046,458803
117,2055,458803
118,1962,458803
119,1997,458803
120,2026,458803
121,2049,458803
122,2001,458803
123,2042,458803
124,2036,458803
125,2036,458803
126,2002,458803
127,2246,458803
